Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity, Sale_Price ,Payment_Method,Salesperson
S02676,CU1272,C0421,12-01-2023,1," $22,088 ",Credit,Latoya Dodson
S02677,CU0776,C0426,20-05-2023,2," $18,445 ",Cash,Luis Campbell
S02678,CU1389,C0410,02-05-2024,2," $81,618 ",Credit,Katherine Alvarado
S02679,CU0909,C0385,13-10-2025,1," $80,060 ",Installment,Sarah Ortiz
S02680,CU1677,C0012,10-02-2024,2," $27,139 ",Installment,William Mclaughlin
S02681,CU0755,C0439,24-04-2024,1," $52,823 ",Credit,Jennifer Larsen
S02682,CU1400,C0039,20-01-2024,1," $47,709 ",Credit,Amy Long
S02683,CU1428,C0329,10-11-2024,3," $85,468 ",Installment,Kathryn Fowler
S02684,CU1499,C0390,13-11-2023,2," $37,377 ",Cash,Cameron Anthony
S02685,CU0573,C0347,27-01-2023,3," $71,211 ",Cash,Mrs. Emily Wood MD
S02686,CU0532,C0415,19-10-2024,2," $68,684 ",Installment,David Tate
S02687,CU1266,C0018,20-04-2023,2," $74,664 ",Installment,John Wu
S02688,CU1289,C0469,18-12-2023,2," $92,425 ",Credit,Kenneth Hunter
S02689,CU0783,C0227,30-12-2022,2," $89,439 ",Installment,Richard Hill
S02690,CU0901,C0441,02-04-2024,1," $87,295 ",Installment,Charles Richardson
S02691,CU1687,C0220,29-12-2024,2," $54,977 ",Cash,Mark Prince
S02692,CU1822,C0356,13-05-2024,2," $71,625 ",Cash,Thomas Turner
S02693,CU1751,C0198,10-02-2024,3," $33,718 ",Credit,Anthony Williams
S02694,CU1347,C0226,06-07-2025,1," $28,216 ",Cash,Shelly Mclaughlin
S02695,CU1486,C0462,29-02-2024,1," $77,990 ",Cash,Derek Jenkins
S02696,CU0801,C0024,06-09-2023,3," $75,437 ",Credit,Laura Gomez
S02697,CU0943,C0441,04-09-2023,2," $54,246 ",Credit,James Howard
S02698,CU1613,C0047,09-04-2023,2," $27,677 ",Installment,Tyler Weaver
S02699,CU1653,C0273,17-02-2025,3," $94,298 ",Cash,John Fox
S02700,CU1668,C0368,28-04-2025,3," $85,983 ",Cash,Christine Beltran
S02701,CU1831,C0444,09-03-2025,3," $30,421 ",Cash,Curtis Porter
S02702,CU0694,C0003,22-02-2025,1," $77,602 ",Installment,Terry Jones
S02703,CU1490,C0382,16-06-2023,3," $66,128 ",Credit,Denise Meyer
S02704,CU0637,C0192,18-05-2025,1," $94,871 ",Cash,Rebecca Gomez
S02705,CU0309,C0391,16-06-2024,2," $26,033 ",Installment,James Humphrey
S02706,CU1994,C0482,09-03-2024,1," $30,963 ",Cash,Travis Holder
S02707,CU0408,C0258,05-11-2022,3," $99,684 ",Cash,Pamela Pace
S02708,CU1276,C0281,07-01-2025,2," $73,938 ",Cash,Kevin Kelley
S02709,CU0416,C0013,17-03-2025,2," $16,684 ",Installment,Denise Ware
S02710,CU1522,C0473,09-07-2024,3," $76,020 ",Cash,Yvette Shelton
S02711,CU1870,C0039,27-07-2023,1," $25,715 ",Cash,Alexandria Bush
S02712,CU1465,C0219,19-08-2024,3," $46,400 ",Cash,Brooke Hawkins
S02713,CU0438,C0446,03-09-2023,2," $86,692 ",Cash,Leslie Owens
S02714,CU0150,C0194,18-10-2024,2," $85,223 ",Installment,Ashley Hopkins
S02715,CU0486,C0281,04-03-2025,2," $42,692 ",Installment,Alvin Wilson
S02716,CU0649,C0123,06-10-2025,1," $56,886 ",Cash,Mary Chambers
S02717,CU1087,C0108,07-04-2025,2," $72,496 ",Cash,Glenn Robinson Jr.
S02718,CU0676,C0250,30-12-2023,3," $92,518 ",Installment,Lee Turner
S02719,CU1473,C0145,14-09-2023,2," $20,853 ",Credit,Michael Powers
S02720,CU0227,C0491,26-03-2025,2," $38,293 ",Credit,David Solis
S02721,CU0869,C0177,10-10-2024,1," $78,858 ",Cash,Natalie Smith
S02722,CU0488,C0253,23-06-2024,3," $35,575 ",Installment,Hannah Frank
S02723,CU0104,C0226,16-03-2024,1," $25,700 ",Installment,Ryan Haas
S02724,CU1680,C0384,04-09-2024,1," $42,675 ",Installment,Jason Montgomery
S02725,CU1820,C0496,10-12-2022,2," $50,243 ",Cash,Jennifer May
S02726,CU1068,C0365,25-03-2023,2," $70,149 ",Installment,Jackie Mcdonald
S02727,CU1688,C0432,29-05-2024,3," $32,916 ",Installment,Patrick Murillo
S02728,CU1731,C0033,14-07-2024,1," $25,922 ",Installment,Andrew Phillips
S02729,CU0920,C0195,21-06-2024,3," $66,411 ",Credit,Crystal Hernandez
S02730,CU0931,C0330,10-06-2025,3," $75,922 ",Credit,Kendra Cook
S02731,CU0208,C0287,18-02-2025,1," $41,418 ",Credit,Casey Evans
S02732,CU0449,C0030,13-09-2024,3," $18,971 ",Installment,Matthew Hoffman
S02733,CU1198,C0435,26-12-2022,1," $94,979 ",Credit,Mark Clarke
S02734,CU1872,C0435,13-05-2023,3," $52,448 ",Credit,Robert Johnson
S02735,CU1769,C0460,04-07-2024,3," $92,971 ",Cash,Mark Wise
S02736,CU1842,C0006,23-09-2023,2," $56,156 ",Installment,Mathew Love
S02737,CU1496,C0136,05-08-2023,3," $25,157 ",Credit,Marie Wilson
S02738,CU0691,C0319,05-10-2023,3," $62,875 ",Installment,Daniel Gilbert
S02739,CU1675,C0388,24-10-2024,1," $85,290 ",Installment,Walter Lee
S02740,CU0473,C0036,09-05-2024,3," $21,094 ",Installment,Brittney Wagner
S02741,CU1469,C0127,08-05-2024,3," $48,973 ",Credit,Kyle Valencia
S02742,CU1528,C0071,03-05-2025,1," $76,390 ",Credit,Alexander Singh
S02743,CU1452,C0155,28-11-2023,3," $57,002 ",Credit,Melissa Briggs
S02744,CU0865,C0388,22-06-2024,2," $30,574 ",Credit,Shannon Peck
S02745,CU1539,C0377,26-01-2025,3," $58,383 ",Cash,Katie Hawkins
S02746,CU0529,C0331,31-05-2025,2," $49,592 ",Cash,James Robinson
S02747,CU1253,C0408,01-11-2022,2," $27,182 ",Cash,Donna Barnes
S02748,CU1138,C0128,21-07-2025,1," $77,407 ",Installment,Christopher Ballard
S02749,CU1064,C0104,03-07-2024,1," $68,428 ",Credit,Richard Wilson
S02750,CU0372,C0064,17-02-2023,3," $21,036 ",Cash,Melissa Davis
S02751,CU0975,C0034,08-12-2022,3," $53,200 ",Installment,Timothy Dillon
S02752,CU1196,C0118,19-11-2022,2," $54,984 ",Installment,Christopher Bryant
S02753,CU0766,C0413,22-01-2025,3," $93,405 ",Credit,Keith Myers
S02754,CU1544,C0192,27-07-2025,3," $59,714 ",Cash,Ray Meyer
S02755,CU0137,C0406,08-05-2025,3," $37,113 ",Cash,Rachel Cummings
S02756,CU1908,C0083,25-08-2025,3," $15,676 ",Installment,Anna Reed
S02757,CU1799,C0177,01-04-2023,3," $54,061 ",Credit,Tabitha Cantu
S02758,CU0969,C0265,20-08-2025,2," $70,979 ",Installment,Barbara Bailey DDS
S02759,CU1216,C0198,23-10-2024,2," $64,654 ",Installment,Linda Fernandez
S02760,CU1656,C0083,30-01-2024,2," $39,144 ",Cash,Jason Davis
S02761,CU1694,C0454,08-10-2024,2," $85,051 ",Installment,Craig Kirk
S02762,CU0557,C0345,07-06-2023,2," $41,470 ",Cash,Patricia Garcia
S02763,CU1549,C0486,22-03-2023,1," $85,722 ",Cash,Leslie Gross
S02764,CU0928,C0430,22-05-2024,3," $29,484 ",Credit,Christine Jones
S02765,CU0811,C0262,27-07-2025,1," $43,121 ",Credit,Stephanie Mitchell
S02766,CU1126,C0288,13-03-2024,2," $81,498 ",Credit,Nicholas Wilson
S02767,CU1232,C0133,22-03-2024,2," $49,746 ",Credit,Angela Higgins
S02768,CU0778,C0236,11-11-2024,1," $79,631 ",Credit,Jose Rodriguez
S02769,CU1864,C0431,12-10-2025,1," $65,618 ",Installment,Brian Blake
S02770,CU0524,C0304,09-04-2023,2," $37,929 ",Installment,Karen Jackson
S02771,CU1650,C0051,03-05-2023,2," $41,824 ",Credit,Peter Taylor
S02772,CU1973,C0068,28-11-2022,3," $88,414 ",Installment,Kimberly Barber
S02773,CU1007,C0201,08-01-2024,2," $56,861 ",Installment,Monica Coffey
S02774,CU0913,C0076,03-07-2025,1," $41,402 ",Installment,Linda Wilson
S02775,CU0861,C0261,21-04-2025,2," $76,673 ",Cash,Marcus Henry
S02776,CU0675,C0203,16-12-2022,2," $49,865 ",Credit,Greg Alvarado
S02777,CU0352,C0132,07-03-2023,1," $32,576 ",Installment,Rachel Hamilton
S02778,CU1997,C0188,09-09-2023,1," $80,235 ",Credit,Julia Armstrong
S02779,CU1431,C0105,08-09-2023,3," $82,058 ",Installment,Gregory Craig
S02780,CU0518,C0232,18-04-2024,1," $51,690 ",Installment,Taylor Gibbs
S02781,CU0924,C0346,11-09-2024,2," $43,462 ",Installment,Brittany Castillo
S02782,CU0786,C0046,28-12-2023,2," $22,848 ",Installment,Melissa Alvarado
S02783,CU1948,C0470,11-01-2025,2," $91,690 ",Installment,Gordon Smith
S02784,CU1061,C0208,17-01-2024,3," $48,971 ",Cash,Ms. Kayla Ball
S02785,CU1388,C0023,20-05-2025,2," $57,484 ",Credit,Nathan Mcbride
S02786,CU0690,C0344,28-01-2025,1," $20,555 ",Installment,Jose Gonzalez
S02787,CU0756,C0293,21-10-2025,3," $68,450 ",Credit,Renee Schneider
S02788,CU1134,C0320,02-11-2023,3," $45,105 ",Credit,Tara Johnson
S02789,CU0778,C0039,13-11-2022,2," $49,197 ",Credit,Valerie Tran
S02790,CU1518,C0142,03-11-2024,1," $63,605 ",Cash,Daniel Rocha
S02791,CU0610,C0455,25-01-2024,1," $93,643 ",Cash,Theresa Richards
S02792,CU0194,C0062,29-02-2024,3," $81,930 ",Installment,Kathy Harmon
S02793,CU1994,C0259,18-12-2022,1," $66,279 ",Cash,Gabriel Walls
S02794,CU1519,C0117,27-11-2023,3," $79,290 ",Credit,Andrew Montgomery
S02795,CU1432,C0408,20-05-2024,3," $47,526 ",Installment,Melissa Nunez
S02796,CU0470,C0458,07-11-2024,1," $54,178 ",Installment,John Olson
S02797,CU0975,C0121,23-10-2025,2," $59,604 ",Installment,Renee Macdonald
S02798,CU0197,C0212,13-03-2025,2," $86,901 ",Cash,Victor Tapia
S02799,CU0825,C0241,12-03-2024,1," $83,531 ",Installment,Dr. Christopher Kim
S02800,CU1560,C0021,22-07-2025,1," $68,725 ",Installment,Haley Simon
S02801,CU1495,C0118,23-08-2023,2," $57,543 ",Credit,Jerry Sanchez
S02802,CU1410,C0193,30-12-2024,2," $26,819 ",Installment,Donna Estrada
S02803,CU0428,C0482,12-02-2024,2," $39,626 ",Installment,Lisa Martin
S02804,CU0620,C0316,09-03-2024,1," $56,049 ",Cash,Andrea Bowers
S02805,CU1039,C0476,18-10-2024,3," $45,702 ",Credit,Cynthia Newton
S02806,CU0150,C0381,28-11-2024,2," $48,570 ",Cash,Tracy Jackson
S02807,CU0728,C0439,04-05-2025,1," $90,841 ",Credit,Ann Jones DDS
S02808,CU1037,C0393,03-08-2025,2," $79,646 ",Credit,Jorge Nelson
S02809,CU0979,C0207,25-12-2023,1," $40,674 ",Cash,Michael Bates
S02810,CU0954,C0102,15-09-2023,3," $30,492 ",Cash,Travis Davis
S02811,CU1718,C0369,05-02-2025,3," $43,715 ",Credit,Julie King
S02812,CU0659,C0275,20-02-2025,2," $36,656 ",Cash,Daniel Murphy
S02813,CU1138,C0113,03-06-2023,2," $51,831 ",Installment,Eric Ruiz
S02814,CU0333,C0321,23-03-2024,3," $38,318 ",Installment,Christine Mccoy
S02815,CU1508,C0483,01-04-2025,3," $87,210 ",Cash,Michelle Hall
S02816,CU1101,C0291,14-08-2025,1," $37,706 ",Credit,Debra Brady
S02817,CU1073,C0170,22-10-2024,1," $39,312 ",Cash,Lynn Cain
S02818,CU1043,C0115,23-07-2024,1," $79,634 ",Installment,Grace Spencer
S02819,CU1384,C0293,22-05-2024,1," $73,048 ",Installment,Julie Young
S02820,CU1845,C0302,30-01-2025,2," $21,020 ",Cash,Crystal Newman
S02821,CU1063,C0411,09-03-2025,1," $86,984 ",Credit,Judy Vaughn
S02822,CU1329,C0086,14-06-2023,2," $22,593 ",Credit,Timothy Blankenship
S02823,CU1809,C0217,17-07-2025,2," $20,407 ",Cash,Amanda Bauer PhD
S02824,CU1157,C0147,22-01-2024,1," $46,229 ",Credit,Nancy Cobb
S02825,CU1550,C0321,05-08-2023,3," $46,894 ",Cash,Michael Thompson
S02826,CU1928,C0271,25-06-2023,1," $56,782 ",Cash,Rebecca Stevens
S02827,CU1354,C0066,12-07-2025,2," $15,352 ",Credit,Victoria Ross
S02828,CU0176,C0269,23-12-2023,1," $54,082 ",Installment,Alyssa Gonzalez
S02829,CU0165,C0301,23-09-2025,2," $96,501 ",Installment,Aaron Schultz
S02830,CU0228,C0411,21-06-2024,1," $75,026 ",Credit,Cory Travis
S02831,CU1046,C0400,15-09-2024,1," $28,058 ",Installment,Lee Sanchez
S02832,CU0604,C0306,17-10-2024,1," $33,625 ",Cash,Nicholas Miller
S02833,CU0615,C0378,10-07-2024,1," $15,000 ",Cash,Samuel Cook
S02834,CU0766,C0167,16-08-2024,3," $42,438 ",Cash,Kaitlyn Perez
S02835,CU0052,C0206,02-03-2024,1," $54,840 ",Installment,Warren Fisher
S02836,CU0900,C0058,04-05-2025,3," $66,592 ",Installment,Kara Floyd
S02837,CU0873,C0326,07-11-2023,2," $61,400 ",Cash,Patrick Osborn
S02838,CU1067,C0073,20-07-2024,1," $55,028 ",Installment,Andrea Moore
S02839,CU0913,C0490,19-10-2023,1," $16,882 ",Installment,Angela Wilson
S02840,CU1845,C0084,26-12-2024,2," $68,729 ",Installment,Joshua Pitts
S02841,CU1724,C0057,02-12-2023,1," $41,177 ",Installment,Patricia Burns
S02842,CU1978,C0436,05-04-2025,2," $38,828 ",Installment,Jordan Chavez
S02843,CU1077,C0302,26-04-2025,1," $19,581 ",Cash,Michelle Shaw
S02844,CU1635,C0222,16-08-2025,1," $72,444 ",Cash,John Williams
S02845,CU1920,C0190,23-01-2023,3," $53,100 ",Credit,Megan Strong
S02846,CU0857,C0360,30-12-2022,2," $72,308 ",Credit,Jillian Bauer
S02847,CU1693,C0168,16-03-2023,1," $76,737 ",Installment,Erika Burns
S02848,CU1956,C0038,10-07-2023,2," $90,984 ",Cash,Brianna Duffy
S02849,CU0780,C0318,03-03-2024,3," $93,872 ",Credit,Joanna Butler
S02850,CU1044,C0450,08-01-2023,3," $72,767 ",Credit,Christopher Richardson
S02851,CU1513,C0189,03-09-2023,1," $81,301 ",Cash,Kristen Hernandez
S02852,CU1267,C0166,06-06-2023,1," $93,226 ",Credit,Renee Perez
S02853,CU1329,C0060,30-12-2023,1," $39,807 ",Credit,Amanda Duran
S02854,CU1742,C0012,12-06-2025,2," $85,038 ",Cash,Nancy Sanchez
S02855,CU1467,C0346,19-04-2023,2," $89,579 ",Credit,Stephanie Fuller
S02856,CU0883,C0062,12-04-2024,1," $46,639 ",Cash,Stephen Richards
S02857,CU1722,C0125,07-04-2025,3," $57,758 ",Cash,Dawn Ford
S02858,CU1155,C0497,15-01-2023,1," $55,649 ",Installment,Edward Lopez
S02859,CU1041,C0246,11-06-2023,2," $20,422 ",Cash,James Diaz
S02860,CU0586,C0066,29-10-2025,1," $38,677 ",Cash,Eric Byrd
S02861,CU0664,C0478,13-03-2023,2," $20,151 ",Installment,Stephanie Alexander
S02862,CU0138,C0286,27-05-2024,2," $56,735 ",Credit,Walter Jennings
S02863,CU0839,C0491,20-01-2025,2," $60,277 ",Credit,Terry Martinez
S02864,CU1784,C0147,11-01-2024,3," $91,991 ",Cash,Michael Olson
S02865,CU0039,C0446,02-11-2023,2," $84,886 ",Cash,Jason White
S02866,CU0725,C0359,22-02-2023,1," $64,396 ",Cash,Anthony Gonzalez
S02867,CU1375,C0012,13-04-2025,1," $17,221 ",Credit,Nicole Gonzalez
S02868,CU1219,C0061,11-11-2024,3," $59,855 ",Credit,William Bruce
S02869,CU1246,C0029,29-08-2025,1," $28,905 ",Credit,Mike Hurley
S02870,CU1398,C0482,09-08-2024,1," $75,082 ",Cash,Victoria Combs
S02871,CU0851,C0203,28-08-2025,2," $98,616 ",Credit,Danielle Brooks
S02872,CU1711,C0270,02-12-2023,1," $41,768 ",Installment,Brandon Rice
S02873,CU1728,C0072,31-12-2023,1," $56,642 ",Cash,Leslie Holmes
S02874,CU1422,C0005,13-04-2023,3," $25,394 ",Cash,Marie Pineda
S02875,CU1969,C0109,24-11-2022,2," $66,906 ",Cash,Amanda Fischer
S02876,CU1093,C0300,07-12-2023,2," $63,142 ",Credit,Darren Jackson
S02877,CU1368,C0178,16-09-2023,2," $32,534 ",Credit,Mr. Adam Wall
S02878,CU0367,C0257,11-04-2023,2," $83,793 ",Cash,Sara Hernandez
S02879,CU0615,C0183,11-05-2024,2," $98,449 ",Credit,Jack Fox
S02880,CU1615,C0251,17-03-2023,3," $26,054 ",Cash,Kristin Moreno
S02881,CU1833,C0189,25-06-2023,1," $76,382 ",Credit,Sandra Lee
S02882,CU1927,C0328,04-08-2023,3," $86,349 ",Credit,Jamie Cummings
S02883,CU0972,C0030,29-09-2024,3," $94,601 ",Credit,Corey Braun
S02884,CU1371,C0124,21-08-2024,3," $99,623 ",Cash,Brooke Herring MD
S02885,CU0134,C0124,01-09-2025,2," $67,987 ",Cash,Joshua Davis
S02886,CU0279,C0045,25-08-2023,1," $94,923 ",Cash,Amanda Coleman
S02887,CU0072,C0487,09-10-2025,1," $34,842 ",Installment,Nicholas Thomas
S02888,CU1225,C0005,05-06-2025,2," $44,182 ",Credit,Lindsey Sanchez
S02889,CU0054,C0004,28-04-2025,2," $35,343 ",Credit,Keith Torres
S02890,CU0528,C0428,10-03-2023,3," $51,977 ",Installment,Barbara Patterson
S02891,CU0161,C0009,05-03-2024,3," $75,385 ",Installment,Thomas Clark
S02892,CU1008,C0049,05-12-2024,3," $36,503 ",Installment,Monique Barrett
S02893,CU1994,C0157,05-06-2024,1," $54,322 ",Installment,Jeanne Hogan
S02894,CU1413,C0081,03-01-2023,1," $62,547 ",Installment,Kerri Finley
S02895,CU1211,C0333,12-02-2024,2," $68,980 ",Installment,Linda Gardner
S02896,CU0539,C0009,29-01-2023,2," $54,621 ",Credit,Mary Rodriguez
S02897,CU0009,C0066,24-04-2024,2," $20,626 ",Cash,David Rogers
S02898,CU1775,C0256,05-09-2025,2," $50,439 ",Cash,Kyle Hogan
S02899,CU1287,C0243,14-06-2025,1," $79,273 ",Cash,John Sullivan
S02900,CU0691,C0259,19-06-2023,2," $45,661 ",Cash,Dawn Thomas
S02901,CU0573,C0329,31-10-2022,1," $15,048 ",Cash,Patrick Barrett
S02902,CU0228,C0450,18-03-2023,2," $98,648 ",Cash,Heather Gardner
S02903,CU1678,C0485,31-10-2024,1," $69,373 ",Credit,Aaron Pennington
S02904,CU1005,C0446,06-03-2023,2," $40,146 ",Credit,Mark Mcclure
S02905,CU0882,C0015,17-11-2023,2," $52,980 ",Credit,Mary Bush
S02906,CU0104,C0125,26-10-2023,3," $74,792 ",Credit,Tammy Snyder
S02907,CU1930,C0289,03-07-2025,2," $65,436 ",Cash,Sarah Le
S02908,CU1701,C0084,09-06-2024,2," $29,693 ",Credit,Darrell Berry
S02909,CU0883,C0460,08-03-2023,1," $95,772 ",Installment,Darrell Jackson
S02910,CU1365,C0258,20-10-2023,1," $73,364 ",Installment,Ashley Singh
S02911,CU1485,C0445,21-05-2024,3," $52,659 ",Cash,Jessica Beasley
S02912,CU1594,C0257,06-02-2023,3," $91,939 ",Cash,Raymond Thomas
S02913,CU0755,C0421,12-08-2023,1," $37,487 ",Cash,Anthony Miller
S02914,CU1912,C0380,16-11-2022,3," $43,001 ",Installment,Sierra Gibson
S02915,CU1030,C0300,10-06-2025,1," $41,866 ",Installment,Brandon Haney
S02916,CU0288,C0469,04-05-2023,1," $62,912 ",Installment,George Mitchell
S02917,CU1541,C0176,29-04-2024,3," $94,848 ",Credit,Patricia Allen
S02918,CU0540,C0257,24-09-2024,2," $21,300 ",Installment,David Trevino
S02919,CU1400,C0273,12-12-2023,1," $43,850 ",Cash,Hannah Sanchez
S02920,CU1279,C0419,29-08-2024,2," $70,342 ",Cash,Thomas Bartlett
S02921,CU1708,C0182,10-01-2025,1," $33,649 ",Installment,Frank Willis
S02922,CU0362,C0121,24-09-2023,1," $83,793 ",Installment,Andrew Fox
S02923,CU0774,C0274,29-11-2023,1," $32,005 ",Cash,Travis Mcdonald
S02924,CU0804,C0252,11-09-2024,1," $79,170 ",Cash,Gary Scott
S02925,CU0305,C0391,27-05-2024,1," $87,670 ",Installment,David Palmer
S02926,CU1334,C0360,15-10-2023,2," $18,517 ",Installment,Nicholas Anderson
S02927,CU0422,C0498,20-09-2025,1," $75,041 ",Credit,Aaron Owens
S02928,CU0023,C0201,12-04-2023,3," $87,417 ",Installment,Anthony Anderson
S02929,CU0056,C0040,26-01-2023,1," $89,581 ",Cash,Brian Marsh
S02930,CU0333,C0328,21-12-2022,3," $56,193 ",Cash,Richard Cole
S02931,CU1745,C0308,18-12-2024,3," $74,431 ",Cash,Patrick Yang
S02932,CU1020,C0343,06-04-2023,1," $89,475 ",Installment,David Wilkins
S02933,CU1359,C0391,31-12-2024,3," $15,859 ",Credit,Dr. Jamie Frazier DDS
S02934,CU0558,C0166,27-10-2024,1," $19,608 ",Cash,Stacy Barton
S02935,CU1971,C0374,08-05-2023,3," $90,758 ",Credit,Michelle Miller
S02936,CU0673,C0430,28-04-2023,2," $33,523 ",Installment,Rachael Jones
S02937,CU0558,C0218,27-04-2024,2," $55,627 ",Credit,Kelly Rios
S02938,CU0213,C0096,27-01-2023,2," $57,689 ",Cash,Dr. Elizabeth Bennett MD
S02939,CU1863,C0223,15-04-2023,3," $83,897 ",Cash,Susan Dean
S02940,CU0967,C0497,21-06-2024,2," $95,983 ",Cash,Gary Chapman
S02941,CU1176,C0039,03-02-2025,1," $18,233 ",Cash,Ashley Weaver
S02942,CU1159,C0371,19-03-2024,1," $87,054 ",Installment,Tara Lynch
S02943,CU0469,C0343,31-07-2024,2," $38,023 ",Credit,Katherine Harris
S02944,CU0836,C0309,26-01-2023,3," $93,985 ",Installment,Tonya Taylor
S02945,CU1199,C0113,20-06-2023,1," $77,387 ",Credit,Brianna Mitchell
S02946,CU0668,C0432,06-09-2023,1," $20,455 ",Cash,Valerie Hamilton
S02947,CU1594,C0271,14-12-2024,2," $92,945 ",Cash,Omar Garcia
S02948,CU1943,C0158,02-07-2023,3," $99,080 ",Installment,Jennifer Miller
S02949,CU0086,C0450,09-07-2023,3," $53,147 ",Cash,Scott Mack
S02950,CU0897,C0447,11-06-2025,1," $78,077 ",Installment,Diane Miller
S02951,CU1519,C0426,07-07-2023,2," $63,315 ",Installment,Debra Douglas
S02952,CU1143,C0462,17-11-2022,1," $91,110 ",Credit,Darryl Warren
S02953,CU0534,C0066,07-07-2024,2," $98,033 ",Cash,Dawn Payne
S02954,CU1795,C0184,04-08-2024,2," $85,309 ",Credit,Shelly Fritz
S02955,CU0200,C0478,23-02-2023,3," $34,728 ",Cash,Charles Sanchez
S02956,CU1939,C0438,21-12-2022,2," $57,877 ",Cash,Austin Rivera
S02957,CU1684,C0134,27-06-2025,1," $16,838 ",Cash,Cheryl Roberts
S02958,CU1285,C0077,08-08-2024,2," $56,370 ",Cash,Brittney Hicks
S02959,CU0339,C0083,15-11-2022,3," $15,136 ",Credit,Jordan White
S02960,CU0959,C0325,15-05-2024,1," $78,188 ",Cash,Andrea Perez
S02961,CU0990,C0399,06-01-2025,2," $45,213 ",Credit,Eric Sanchez
S02962,CU0065,C0270,05-06-2023,2," $57,930 ",Installment,Jeremy Davis
S02963,CU0326,C0255,07-12-2023,2," $82,177 ",Cash,Susan Bates
S02964,CU0247,C0490,13-03-2025,2," $34,427 ",Credit,Donald Charles
S02965,CU1296,C0017,16-11-2024,1," $59,607 ",Cash,Aaron Young
S02966,CU0390,C0239,27-08-2024,2," $90,975 ",Cash,Matthew Yates
S02967,CU0333,C0025,19-06-2024,3," $57,094 ",Installment,Brian Powell
S02968,CU0068,C0473,09-11-2024,1," $97,942 ",Installment,Heidi Harper
S02969,CU1677,C0367,21-10-2025,1," $40,298 ",Credit,Clayton Larson
S02970,CU0231,C0314,03-02-2023,1," $18,323 ",Cash,Daniel Juarez
S02971,CU1216,C0139,04-05-2025,3," $82,032 ",Credit,Gary Chapman
S02972,CU1892,C0397,27-12-2024,3," $15,506 ",Cash,Heather Wells
S02973,CU0316,C0461,02-11-2023,3," $69,546 ",Credit,Aaron Hamilton
S02974,CU1092,C0039,24-01-2024,3," $74,275 ",Credit,Marco Reed
S02975,CU0936,C0189,04-07-2024,2," $21,509 ",Installment,Harry Morgan
S02976,CU1358,C0213,29-05-2025,1," $58,876 ",Credit,Angel Soto
S02977,CU1178,C0301,12-06-2025,3," $67,522 ",Credit,Michael Mullins
S02978,CU1788,C0344,20-01-2025,1," $66,176 ",Credit,Carol Hopkins
S02979,CU0789,C0443,24-04-2023,1," $31,909 ",Installment,Joshua Moore
S02980,CU0231,C0231,13-06-2024,2," $56,347 ",Credit,Laura Rodriguez
S02981,CU0264,C0456,22-04-2023,3," $31,598 ",Cash,Jason Mcdonald
S02982,CU1121,C0140,10-01-2023,3," $91,295 ",Cash,Wendy George
S02983,CU0761,C0446,24-10-2023,2," $80,074 ",Installment,Taylor Zimmerman
S02984,CU0516,C0425,31-08-2024,3," $86,976 ",Cash,Kevin Anderson
S02985,CU1186,C0075,01-03-2023,2," $73,005 ",Cash,Bernard Lewis
S02986,CU1769,C0327,30-08-2024,2," $52,710 ",Cash,Margaret Christian
S02987,CU0501,C0217,14-08-2025,2," $54,414 ",Cash,George Carpenter
S02988,CU0812,C0436,18-08-2023,3," $99,086 ",Installment,Jacob Hamilton
S02989,CU1155,C0334,09-12-2024,1," $77,730 ",Credit,Diana Bowman
S02990,CU1209,C0026,01-11-2023,3," $87,341 ",Credit,Nicholas Spencer
S02991,CU1609,C0168,16-05-2024,3," $89,701 ",Cash,Diana Rasmussen
S02992,CU0397,C0088,30-06-2024,2," $22,440 ",Credit,Brian Nichols
S02993,CU0480,C0360,23-04-2024,2," $73,795 ",Installment,Lindsey Adkins
S02994,CU0971,C0425,04-08-2025,1," $77,310 ",Cash,Manuel Mcgee
S02995,CU1874,C0439,01-02-2023,2," $65,808 ",Cash,Marie Garcia
S02996,CU0471,C0309,15-10-2024,1," $82,539 ",Installment,Katherine Bell
S02997,CU0668,C0171,23-07-2024,1," $59,930 ",Cash,Frank Miller
S02998,CU1289,C0291,11-06-2023,3," $29,047 ",Cash,Angela Moore
S02999,CU0097,C0381,23-02-2023,3," $85,916 ",Installment,Shane Ewing
S03000,CU1881,C0263,15-11-2024,1," $99,004 ",Credit,Ricardo Riley
S03001,CU0946,C0298,05-10-2023,1," $66,523 ",Installment,Shawn Parker
S03002,CU1120,C0266,27-08-2024,1," $47,017 ",Installment,Andrew Wilson
S03003,CU0487,C0487,27-04-2025,3," $19,352 ",Installment,Sara Lambert DDS
S03004,CU0704,C0378,07-05-2025,3," $83,723 ",Credit,Jeremiah Barber
S03005,CU0781,C0329,19-01-2025,2," $75,876 ",Installment,Michelle Young
S03006,CU0512,C0177,21-10-2024,2," $73,602 ",Credit,Andrew Reed
S03007,CU0731,C0006,10-07-2023,2," $65,574 ",Cash,Joseph Flores
S03008,CU0638,C0317,02-12-2024,3," $94,404 ",Credit,Taylor Wilcox
S03009,CU0843,C0187,26-04-2024,3," $41,604 ",Credit,Jeffery Wilson
S03010,CU1706,C0451,04-10-2025,3," $42,518 ",Credit,Jesse Sawyer
S03011,CU0596,C0363,13-04-2025,1," $34,608 ",Installment,Justin Harris
